wl,n
3.8462e-01,2.0686e+00
3.8739e-01,2.0671e+00
3.9018e-01,2.0655e+00
3.9299e-01,2.0640e+00
3.9582e-01,2.0625e+00
3.9867e-01,2.0610e+00
4.0154e-01,2.0595e+00
4.0443e-01,2.0581e+00
4.0735e-01,2.0566e+00
4.1028e-01,2.0552e+00
4.1324e-01,2.0538e+00
4.1621e-01,2.0524e+00
4.1921e-01,2.0511e+00
4.2223e-01,2.0497e+00
4.2527e-01,2.0484e+00
4.2833e-01,2.0471e+00
4.3142e-01,2.0458e+00
4.3453e-01,2.0446e+00
4.3766e-01,2.0433e+00
4.4081e-01,2.0421e+00
4.4398e-01,2.0409e+00
4.4718e-01,2.0397e+00
4.5040e-01,2.0385e+00
4.5365e-01,2.0373e+00
4.5692e-01,2.0362e+00
4.6021e-01,2.0350e+00
4.6352e-01,2.0339e+00
4.6686e-01,2.0328e+00
4.7022e-01,2.0317e+00
4.7361e-01,2.0306e+00
4.7702e-01,2.0296e+00
4.8046e-01,2.0285e+00
4.8392e-01,2.0275e+00
4.8740e-01,2.0265e+00
4.9092e-01,2.0255e+00
4.9445e-01,2.0245e+00
4.9801e-01,2.0235e+00
5.0160e-01,2.0225e+00
5.0521e-01,2.0216e+00
5.0885e-01,2.0206e+00
5.1252e-01,2.0197e+00
5.1621e-01,2.0188e+00
5.1993e-01,2.0179e+00
5.2367e-01,2.0170e+00
5.2745e-01,2.0161e+00
5.3124e-01,2.0153e+00
5.3507e-01,2.0144e+00
5.3893e-01,2.0136e+00
5.4281e-01,2.0127e+00
5.4672e-01,2.0119e+00
5.5066e-01,2.0111e+00
5.5462e-01,2.0103e+00
5.5862e-01,2.0095e+00
5.6264e-01,2.0087e+00
5.6669e-01,2.0080e+00
5.7078e-01,2.0072e+00
5.7489e-01,2.0065e+00
5.7903e-01,2.0057e+00
5.8320e-01,2.0050e+00
5.8740e-01,2.0043e+00
5.9163e-01,2.0036e+00
5.9589e-01,2.0029e+00
6.0018e-01,2.0022e+00
6.0451e-01,2.0015e+00
6.0886e-01,2.0008e+00
6.1325e-01,2.0002e+00
6.1766e-01,1.9995e+00
6.2211e-01,1.9989e+00
6.2659e-01,1.9982e+00
6.3111e-01,1.9976e+00
6.3565e-01,1.9970e+00
6.4023e-01,1.9964e+00
6.4484e-01,1.9958e+00
6.4949e-01,1.9952e+00
6.5417e-01,1.9946e+00
6.5888e-01,1.9940e+00
6.6363e-01,1.9935e+00
6.6841e-01,1.9929e+00
6.7322e-01,1.9923e+00
6.7807e-01,1.9918e+00
6.8295e-01,1.9912e+00
6.8787e-01,1.9907e+00
6.9283e-01,1.9902e+00
6.9782e-01,1.9897e+00
7.0285e-01,1.9891e+00
7.0791e-01,1.9886e+00
7.1301e-01,1.9881e+00
7.1814e-01,1.9876e+00
7.2332e-01,1.9872e+00
7.2853e-01,1.9867e+00
7.3377e-01,1.9862e+00
7.3906e-01,1.9857e+00
7.4438e-01,1.9853e+00
7.4974e-01,1.9848e+00
7.5514e-01,1.9843e+00
7.6058e-01,1.9839e+00
7.6606e-01,1.9835e+00
7.7158e-01,1.9830e+00
7.7714e-01,1.9826e+00
7.8274e-01,1.9822e+00
7.8837e-01,1.9817e+00
7.9405e-01,1.9813e+00
7.9977e-01,1.9809e+00
8.0553e-01,1.9805e+00
8.1134e-01,1.9801e+00
8.1718e-01,1.9797e+00
8.2307e-01,1.9793e+00
8.2900e-01,1.9789e+00
8.3497e-01,1.9786e+00
8.4098e-01,1.9782e+00
8.4704e-01,1.9778e+00
8.5314e-01,1.9775e+00
8.5929e-01,1.9771e+00
8.6547e-01,1.9767e+00
8.7171e-01,1.9764e+00
8.7799e-01,1.9760e+00
8.8431e-01,1.9757e+00
8.9068e-01,1.9753e+00
8.9710e-01,1.9750e+00
9.0356e-01,1.9747e+00
9.1007e-01,1.9743e+00
9.1662e-01,1.9740e+00
9.2323e-01,1.9737e+00
9.2988e-01,1.9734e+00
9.3657e-01,1.9731e+00
9.4332e-01,1.9727e+00
9.5012e-01,1.9724e+00
9.5696e-01,1.9721e+00
9.6385e-01,1.9718e+00
9.7079e-01,1.9715e+00
9.7779e-01,1.9712e+00
9.8483e-01,1.9709e+00
9.9192e-01,1.9706e+00
9.9907e-01,1.9704e+00
1.0063e+00,1.9701e+00
1.0135e+00,1.9698e+00
1.0208e+00,1.9695e+00
1.0282e+00,1.9692e+00
1.0356e+00,1.9690e+00
1.0430e+00,1.9687e+00
1.0505e+00,1.9684e+00
1.0581e+00,1.9682e+00
1.0657e+00,1.9679e+00
1.0734e+00,1.9676e+00
1.0811e+00,1.9674e+00
1.0889e+00,1.9671e+00
1.0968e+00,1.9669e+00
1.1047e+00,1.9666e+00
1.1126e+00,1.9664e+00
1.1206e+00,1.9661e+00
1.1287e+00,1.9659e+00
1.1368e+00,1.9656e+00
1.1450e+00,1.9654e+00
1.1533e+00,1.9651e+00
1.1616e+00,1.9649e+00
1.1700e+00,1.9647e+00
1.1784e+00,1.9644e+00
1.1869e+00,1.9642e+00
1.1954e+00,1.9640e+00
1.2040e+00,1.9637e+00
1.2127e+00,1.9635e+00
1.2214e+00,1.9633e+00
1.2302e+00,1.9631e+00
1.2391e+00,1.9628e+00
1.2480e+00,1.9626e+00
1.2570e+00,1.9624e+00
1.2661e+00,1.9622e+00
1.2752e+00,1.9620e+00
1.2844e+00,1.9617e+00
1.2936e+00,1.9615e+00
1.3029e+00,1.9613e+00
1.3123e+00,1.9611e+00
1.3218e+00,1.9609e+00
1.3313e+00,1.9607e+00
1.3409e+00,1.9605e+00
1.3506e+00,1.9602e+00
1.3603e+00,1.9600e+00
1.3701e+00,1.9598e+00
1.3800e+00,1.9596e+00
1.3899e+00,1.9594e+00
1.3999e+00,1.9592e+00
1.4100e+00,1.9590e+00
1.4201e+00,1.9588e+00
1.4304e+00,1.9586e+00
1.4407e+00,1.9584e+00
1.4511e+00,1.9582e+00
1.4615e+00,1.9580e+00
1.4720e+00,1.9578e+00
1.4826e+00,1.9576e+00
1.4933e+00,1.9574e+00
1.5041e+00,1.9572e+00
1.5149e+00,1.9570e+00
1.5258e+00,1.9568e+00
1.5368e+00,1.9566e+00
1.5479e+00,1.9564e+00
1.5590e+00,1.9562e+00
1.5703e+00,1.9560e+00
1.5816e+00,1.9558e+00
1.5930e+00,1.9556e+00
1.6044e+00,1.9554e+00
1.6160e+00,1.9552e+00
1.6276e+00,1.9550e+00
1.6394e+00,1.9548e+00
1.6512e+00,1.9546e+00
1.6631e+00,1.9544e+00
1.6750e+00,1.9542e+00
1.6871e+00,1.9540e+00
1.6993e+00,1.9537e+00
1.7115e+00,1.9535e+00
1.7238e+00,1.9533e+00
1.7362e+00,1.9531e+00
1.7487e+00,1.9529e+00
1.7613e+00,1.9527e+00
1.7740e+00,1.9525e+00
1.7868e+00,1.9523e+00
1.7997e+00,1.9521e+00
1.8126e+00,1.9519e+00
1.8257e+00,1.9517e+00
1.8388e+00,1.9515e+00
1.8521e+00,1.9512e+00
1.8654e+00,1.9510e+00
1.8789e+00,1.9508e+00
1.8924e+00,1.9506e+00
1.9060e+00,1.9504e+00
1.9198e+00,1.9502e+00
1.9336e+00,1.9499e+00
1.9475e+00,1.9497e+00
1.9615e+00,1.9495e+00
1.9757e+00,1.9493e+00
1.9899e+00,1.9491e+00
2.0042e+00,1.9488e+00
2.0187e+00,1.9486e+00
2.0332e+00,1.9484e+00
2.0479e+00,1.9481e+00
2.0626e+00,1.9479e+00
2.0775e+00,1.9477e+00
2.0924e+00,1.9474e+00
2.1075e+00,1.9472e+00
2.1227e+00,1.9470e+00
2.1380e+00,1.9467e+00
2.1534e+00,1.9465e+00
2.1689e+00,1.9462e+00
2.1845e+00,1.9460e+00
2.2003e+00,1.9457e+00
2.2161e+00,1.9455e+00
2.2321e+00,1.9452e+00
2.2481e+00,1.9450e+00
2.2643e+00,1.9447e+00
2.2806e+00,1.9444e+00
2.2971e+00,1.9442e+00
2.3136e+00,1.9439e+00
2.3303e+00,1.9436e+00
2.3471e+00,1.9434e+00
2.3640e+00,1.9431e+00
2.3810e+00,1.9428e+00
2.3982e+00,1.9425e+00
2.4154e+00,1.9422e+00
2.4328e+00,1.9420e+00
2.4504e+00,1.9417e+00
2.4680e+00,1.9414e+00
2.4858e+00,1.9411e+00
2.5037e+00,1.9408e+00
2.5217e+00,1.9405e+00
2.5399e+00,1.9402e+00
2.5582e+00,1.9399e+00
2.5766e+00,1.9396e+00
2.5952e+00,1.9392e+00
2.6139e+00,1.9389e+00
2.6327e+00,1.9386e+00
2.6516e+00,1.9383e+00
2.6707e+00,1.9379e+00
2.6900e+00,1.9376e+00
2.7094e+00,1.9373e+00
2.7289e+00,1.9369e+00
2.7485e+00,1.9366e+00
2.7683e+00,1.9362e+00
2.7883e+00,1.9359e+00
2.8084e+00,1.9355e+00
2.8286e+00,1.9351e+00
2.8490e+00,1.9348e+00
2.8695e+00,1.9344e+00
2.8902e+00,1.9340e+00
2.9110e+00,1.9336e+00
2.9319e+00,1.9332e+00
2.9531e+00,1.9328e+00
2.9743e+00,1.9324e+00
2.9958e+00,1.9320e+00
3.0173e+00,1.9316e+00
3.0391e+00,1.9312e+00
3.0610e+00,1.9308e+00
3.0830e+00,1.9304e+00
3.1052e+00,1.9299e+00
3.1276e+00,1.9295e+00
3.1501e+00,1.9291e+00
3.1728e+00,1.9286e+00
3.1957e+00,1.9282e+00
3.2187e+00,1.9277e+00
3.2419e+00,1.9272e+00
3.2652e+00,1.9268e+00
3.2887e+00,1.9263e+00
3.3124e+00,1.9258e+00
3.3363e+00,1.9253e+00
3.3603e+00,1.9248e+00
3.3845e+00,1.9243e+00
3.4089e+00,1.9238e+00
3.4334e+00,1.9233e+00
3.4582e+00,1.9227e+00
3.4831e+00,1.9222e+00
3.5082e+00,1.9217e+00
3.5334e+00,1.9211e+00
3.5589e+00,1.9206e+00
3.5845e+00,1.9200e+00
3.6104e+00,1.9194e+00
3.6364e+00,1.9188e+00
3.6626e+00,1.9182e+00
3.6889e+00,1.9176e+00
3.7155e+00,1.9170e+00
3.7423e+00,1.9164e+00
3.7692e+00,1.9158e+00
3.7964e+00,1.9152e+00
3.8237e+00,1.9145e+00
3.8513e+00,1.9139e+00
3.8790e+00,1.9132e+00
3.9069e+00,1.9125e+00
3.9351e+00,1.9118e+00
3.9634e+00,1.9111e+00
3.9920e+00,1.9104e+00
4.0207e+00,1.9097e+00
4.0497e+00,1.9090e+00
4.0789e+00,1.9083e+00
4.1082e+00,1.9075e+00
4.1378e+00,1.9068e+00
4.1676e+00,1.9060e+00
4.1977e+00,1.9052e+00
4.2279e+00,1.9044e+00
4.2584e+00,1.9036e+00
4.2890e+00,1.9028e+00
4.3199e+00,1.9020e+00
4.3510e+00,1.9011e+00
4.3824e+00,1.9003e+00
4.4139e+00,1.8994e+00
4.4457e+00,1.8985e+00
4.4778e+00,1.8977e+00
4.5100e+00,1.8967e+00
4.5425e+00,1.8958e+00
4.5752e+00,1.8949e+00
4.6082e+00,1.8939e+00
4.6414e+00,1.8930e+00
4.6748e+00,1.8920e+00
4.7085e+00,1.8910e+00
4.7424e+00,1.8900e+00
4.7766e+00,1.8890e+00
4.8110e+00,1.8879e+00
4.8456e+00,1.8869e+00
4.8805e+00,1.8858e+00
4.9157e+00,1.8847e+00
4.9511e+00,1.8836e+00
4.9867e+00,1.8825e+00
5.0227e+00,1.8813e+00
5.0588e+00,1.8802e+00
5.0953e+00,1.8790e+00
5.1320e+00,1.8778e+00
5.1690e+00,1.8766e+00
5.2062e+00,1.8753e+00
5.2437e+00,1.8741e+00
5.2815e+00,1.8728e+00
5.3195e+00,1.8715e+00
5.3578e+00,1.8702e+00
5.3964e+00,1.8689e+00
5.4353e+00,1.8675e+00
5.4744e+00,1.8661e+00
5.5139e+00,1.8647e+00
5.5536e+00,1.8633e+00
5.5936e+00,1.8618e+00
5.6339e+00,1.8604e+00
5.6745e+00,1.8589e+00
5.7153e+00,1.8573e+00
5.7565e+00,1.8558e+00
5.7980e+00,1.8542e+00
5.8397e+00,1.8526e+00
5.8818e+00,1.8510e+00
5.9242e+00,1.8493e+00
5.9668e+00,1.8476e+00
6.0098e+00,1.8459e+00
6.0531e+00,1.8442e+00
6.0967e+00,1.8424e+00
6.1406e+00,1.8406e+00
6.1848e+00,1.8388e+00
6.2294e+00,1.8369e+00
6.2743e+00,1.8351e+00
6.3195e+00,1.8331e+00
6.3650e+00,1.8312e+00
6.4108e+00,1.8292e+00
6.4570e+00,1.8272e+00
6.5035e+00,1.8251e+00
6.5504e+00,1.8230e+00
6.5975e+00,1.8209e+00
6.6451e+00,1.8187e+00
6.6929e+00,1.8165e+00
6.7411e+00,1.8143e+00
6.7897e+00,1.8120e+00
6.8386e+00,1.8096e+00
6.8879e+00,1.8073e+00
6.9375e+00,1.8049e+00
6.9875e+00,1.8024e+00
7.0378e+00,1.7999e+00
7.0885e+00,1.7974e+00
7.1395e+00,1.7948e+00
7.1910e+00,1.7922e+00
7.2428e+00,1.7895e+00
7.2949e+00,1.7868e+00
7.3475e+00,1.7840e+00
7.4004e+00,1.7812e+00
7.4537e+00,1.7783e+00
7.5074e+00,1.7754e+00
7.5615e+00,1.7724e+00
7.6159e+00,1.7693e+00
7.6708e+00,1.7662e+00
7.7261e+00,1.7631e+00
7.7817e+00,1.7598e+00
7.8378e+00,1.7566e+00
7.8942e+00,1.7532e+00
7.9511e+00,1.7498e+00
8.0084e+00,1.7463e+00
8.0660e+00,1.7428e+00
8.1241e+00,1.7392e+00
8.1827e+00,1.7355e+00
8.2416e+00,1.7318e+00
8.3010e+00,1.7280e+00
8.3608e+00,1.7241e+00
8.4210e+00,1.7201e+00
8.4816e+00,1.7160e+00
8.5427e+00,1.7119e+00
8.6043e+00,1.7077e+00
8.6662e+00,1.7034e+00
8.7287e+00,1.6990e+00
8.7915e+00,1.6945e+00
8.8549e+00,1.6899e+00
8.9186e+00,1.6852e+00
8.9829e+00,1.6804e+00
9.0476e+00,1.6756e+00
9.1128e+00,1.6706e+00
9.1784e+00,1.6655e+00
9.2445e+00,1.6603e+00
9.3111e+00,1.6550e+00
9.3782e+00,1.6496e+00
9.4457e+00,1.6440e+00
9.5138e+00,1.6384e+00
9.5823e+00,1.6326e+00
9.6513e+00,1.6267e+00
9.7208e+00,1.6206e+00
9.7909e+00,1.6144e+00
9.8614e+00,1.6081e+00
9.9324e+00,1.6016e+00
1.0004e+01,1.5950e+00
1.0076e+01,1.5882e+00
1.0149e+01,1.5812e+00
1.0222e+01,1.5741e+00
1.0295e+01,1.5668e+00
1.0369e+01,1.5593e+00
1.0444e+01,1.5517e+00
1.0519e+01,1.5438e+00
1.0595e+01,1.5358e+00
1.0672e+01,1.5275e+00
1.0748e+01,1.5191e+00
1.0826e+01,1.5104e+00
1.0904e+01,1.5014e+00
1.0982e+01,1.4923e+00
1.1061e+01,1.4829e+00
1.1141e+01,1.4732e+00
1.1221e+01,1.4633e+00
1.1302e+01,1.4531e+00
1.1384e+01,1.4426e+00
1.1466e+01,1.4317e+00
1.1548e+01,1.4206e+00
1.1631e+01,1.4092e+00
1.1715e+01,1.3974e+00
1.1800e+01,1.3852e+00
1.1885e+01,1.3727e+00
1.1970e+01,1.3597e+00
1.2056e+01,1.3464e+00
1.2143e+01,1.3326e+00
1.2231e+01,1.3183e+00
1.2319e+01,1.3036e+00
1.2407e+01,1.2883e+00
1.2497e+01,1.2725e+00
1.2587e+01,1.2562e+00
1.2678e+01,1.2392e+00
1.2769e+01,1.2216e+00
1.2861e+01,1.2033e+00
1.2953e+01,1.1843e+00
1.3047e+01,1.1645e+00
1.3141e+01,1.1440e+00
1.3235e+01,1.1225e+00
1.3331e+01,1.1001e+00
1.3427e+01,1.0767e+00
1.3523e+01,1.0523e+00
1.3621e+01,1.0267e+00
1.3719e+01,9.9993e-01
